sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1051854	Magnificent Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:29273	Canthium	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051861	Superb Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:44483	Aporusa	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051882	Lawes' Six-wired Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:60929	Aglaia	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051877	Raggiana Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:60929	Aglaia	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051854	Magnificent Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051861	Superb Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051882	Lawes' Six-wired Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051877	Raggiana Bird of Paradise	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:1051865	Crinkle-collared Manucode	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
EOL:4420635	Trumpet Manucode	RO:0002437	bioticallyInteractsWith	EOL:5617526	Chisocheton	GEONAMES:2090696	Mount Missim, north-northeast of Wau, Morobe Province, Papua New Guinea 	-7.20953	146.81525			Beehler, B. 1983. Frugivory and polygamy in birds of paradise. The Auk 100: 1-12.
